id,level,word,competition,flag,pinyin,definition,example
10001,1,鹅鹳,P,0,é guàn,天鹅与鹳鸟的并称。指军阵。,【例句】明・徐渭《李伯子画册序》然鱼鸟鹅鹳具载阵法中。
10002,1,鹅炙,Y,0,é zhì,指英雄或贵人尚未发迹。,【例句】宋・陆游《对食》方其未遇时，鹅炙动英雄。
10003,1,噩耗,H,0,è hào,不好的消息。,
10004,1,迩臣,W,0,ěr chén,近臣,【例句】宋・陈亮《论开诚之道》大臣必使之当大责，迩臣必使之与密议。
10005,1,珥鹖,Y,0,ěr hé,冠上插戴鹖尾。,【例句】魏・曹植《孟冬篇》虎贲采骑，飞象珥鶡。钟鼓铿锵，箫管嘈喝。
10006,3,铒,L,0,èr,钩状金属。,
10007,1,帆樯,H,0,fān qiáng,桅杆，借指船只。,【例句】唐・白居易《夜闻歌者》独倚帆樯立，娉婷十七八。
10008a,2,番号,N,0,fān hào,军队编号。,
10008b,2,番号,N,0,fān hào,指军队的编制，也指影视作品的播放编号。,
10009,1,墦肉,L,0,fán ròu,墓前祭肉。,【例句】梁启超《中国改革财政私案》而国家乃如无告之穷民，不得不乞彼等墦肉之餘以延残喘。
10010,3,凡人,W,0,fán rén,与“鬼神”相对，一般省作人,
10011,3,舤,L,0,fán,船舷。,
10012,1,笲菜,L,0,fán cài,竹器所盛之菜。,【例句】《仪礼・士昏礼》祝盥，妇盥于门外，妇执笲菜，祝帅妇以入。
10013,1,樊笼,H,0,fán lóng,关鸟兽的笼子。,【例句】唐・韦应物《忆沣上幽居》一来当复去，犹此厌樊笼。
10014,1,璠膏,Q,0,fán gāo,珍贵的烛油。,【例句】王嘉《拾遗记・周穆王》又列璠膏之烛，遍于宫内。
10015,1,璠瑜,H,0,fán yú,美玉。,【例句】汉・桓宽《盐铁论・晁错》夫以玙璠之玼而弃其璞，以一人之罪而兼其众，则天下无美宝信士也。
10016,1,范畴,H,0,fàn chóu,范围。,
10017,1,梵呗,H,0,fàn bài,诵经声。,
10018,3,方格,N,0,fāng gé,方形的格子。,
10019,1,芳苓,Y,0,fāng líng,指莲。,【例句】枚乘《七发》漃漻薵蓼，蔓草芳苓。
10020,1,芳醑,W,0,fāng xǔ,散发着香气的美酒。,【例句】明・陈子龙《临海道中》邦君荐芳醑，游子躭野服。
10021,1,芳荑,N,0,fāng tí,香草。,【例句】谢灵运《赠从弟弘元并序（其一）》毖彼明泉，馥矣芳荑。
10022,1,防暴盾牌,N,0,fáng bào dùn pái,镇暴警察或军队所使用的类似盾牌的防御器具。,
10023,1,防秋,Y,0,fáng qiū,秋季时增兵防止游牧民族入侵。,【例句】《旧唐书・陆贽传》又以河陷，蕃已来西北边常以重兵守备谓之防秋。
10024,1,纺缁,L,0,fǎng zī,黑色有夹里的衣服。,【例句】《吕氏春秋・淫辞》昔吾所亡者纺緇也，今子之衣襌緇也，以襌緇当纺緇，子岂不得哉。
10025,1,飞榱,N,0,fēi cuī,高架的椽子。,【例句】汉・扬雄《甘泉赋》炕浮柱之飞榱兮，神莫莫而扶倾。
10026,2,饿殍/饿莩,H,0,è piǎo,饿死的人。,【例句】清・钱泳《履园丛话・旧闻・席氏多贤》适当明季，蝗早不登，饿莩载道，而齐、鲁、幽、燕之区为尤甚。
10027,1,绯红,N,0,fēi hóng,鲜红。,
10028,1,绯闻,H,0,fēi wén,桃色新闻。,
10029,1,朏魄,Y,0,fěi pò,新月的月光，也指月亮。,【例句】宋・梅尧臣《寄维阳许待制诗序》主人持出紫石屏，上有朏魄桂树婆娑而枝虬。
10030,1,棐忱,N,0,fěi chén,辅佐忠诚的人。,【例句】汉・张衡《思玄赋》彼天监之孔明兮，用棐忱而祐仁。
10031,3,斐兰,P,0,fěi lán,小孩子玩的一种弓,【例句】清・阮葵生《茶馀客话》弧矢之利，童而习之。小儿以榆柳为弓，曰斐兰。
10032,1,性僻,N,0,xìng pì,指人的性情、喜好。,【例句】唐・杜甫《江上值水如海势聊短述》诗：“为人性僻耽佳句，语不惊人死不休。”
10033,1,芬芳,N,0,fēn fāng,香气。,
10034,1,芬华,L,0,fēn huá,香花。,
10035a,2,氛祲,P,0,fēn jìn,雾气，比喻战乱。,【例句】唐・骆宾王《兵部奏姚州道破逆贼诺没弄杨虔柳露布》扫氛祲以稽天，沧溟为之晦色。
10035b,2,氛祲,W,0,fēn jìn,雾气，比喻战乱。,【例句】唐・骆宾王《兵部奏姚州道破逆贼诺没弄杨虔柳露布》扫氛祲以稽天，沧溟为之晦色。
10036,1,坟茔,N,0,fén yíng,坟墓。,
10037,1,棼橑,Y,0,fén liáo,楼阁的栋和椽。,【例句】晋・葛洪《抱朴子・诘鲍》起土木於凌霄，构丹绿於棼橑。
10038,3,粉丝,N,0,fěn sī,追星的人或群体。,
10039,1,偾军,W,0,fèn jūn,败退的军队。,【例句】唐・陆贽《请不与李万荣汴州节度使状》悖谓犯上，败谓偾军。
10040,1,风汛,Y,0,fēng xùn,风声、消息。,【例句】《西游记》第三十回却莫要现出原嘴脸来，露出马脚，走了风汛，就不斯文了。
10041,1,风榸,P,0,fēng zhāi,干枯的树桩。,【例句】前蜀・贯休《秋怀赤松道士》石罅青虵湿，风榸白菌干。
10042,1,枫宸,P,0,fēng chén,宫殿。,【例句】宋・王安石《贺正表》臣尚依枌社，独隔枫宸，缅瞻朝著之班，窃慕封人之祝。
10043,1,峰胁,Y,0,fēng xié,山腰。,【例句】唐・贯休《避寇上唐台山》苍黄缘鸟道，峰胁见楼台。
10044,1,峰嶂,X,0,fēng zhàng,耸立如屏障的高山。,【例句】孟郊《春集越州皇甫秀才山亭》晴湖泻峰嶂，翠浪多萍藓。
10045,3,烽逻,Q,0,fēng luó,边防警戒。,【例句】《新唐书・王方翼传》州无隍堑，寇易以攻，方翼乃发卒建楼堞，廝多乐水自环，烽逻精明。
10046,1,烽燧,N,0,fēng suì,战火。,【例句】郭沫若《访日杂咏六》八年烽燧生灵苦，两弹铀钚井灶空。
10047,1,葑菲,H,0,fēng fēi,鄙陋之人或有一德可取。,【例句】《诗经・邶风・谷风》采葑采菲，无以下体。
10048,1,锋镝,H,0,fēng dí,泛指兵器。,【例句】汉・贾谊《过秦论》收天下之兵，聚之咸阳，销锋镝，铸以为金人十二，以弱天下之民。
10049,1,锋轺,L,0,fēng yáo,锋车。,【例句】清・陈康祺《燕下乡脞录》（卷十一）侍郎某某辈，屡驾锋轺，囊橐充牣，遂托词养亲乞退。
10050,3,麷,L,0,fēng,蒲草。,【例句】《荀子・富国篇》取其将若拨麷。
10051,1,赗襚,L,0,fèng suì,赠给丧家的车马衣物。,【例句】《后汉书・盖勋传》卓欲外示宽容，表赐东园秘器賵襚，送之如礼。
10053,2,芙蓉,N,0,fú róng,荷花。,
10054,1,孚号,P,0,fú háo,君王的号令或诏命。,【例句】《易・夬》扬于王庭，孚号有厉。
10055,2,罘罕,N,0,fú hǎn,罗网。,【例句】宋玉《高唐赋》弓弩不发，罘罕不倾。
10056,1,俘虏,P,0,fú lǔ,战争中生擒的敌方力量。,
10057,1,郛郭,N,0,fú guō,外城。,【例句】晋・左思《吴都赋》郛郭周匝，重城结隅。
10058,1,桴鼓,N,0,fú gǔ,鼓槌与鼓。比喻相应迅速。,【例句】《汉书・李寻传》顺之以善政，则和气可立致，犹桴鼓之相应也。
10059,1,符表,N,0,fú biǎo,显露的征兆。,【例句】《三国志・蜀志・郤正传》是以达人研道，探颐索微，观天运之符表，考人事之盛衰。
10060,1,符瑞,N,0,fú ruì,吉祥的征兆。,【例句】《管子・水地》是以人主贵之，藏以为宝，剖以为符瑞。
10061,1,烰炭,P,0,fú tàn,木柴经过燃烧后剩下的块状物，经闭熄后而成。,
10062,2,片时,N,0,piàn shí,指片刻的时分、一会儿。,【例句】《五代史平话・汉史・卷上》：“行到卧龙桥上，少歇片时，只听得骰盆内掷骰子响声，仔细去桥亭上觑时，有五个后生在桥上赌钱。”
10063,2,斧钺,H,0,fǔ yuè,古代兵器，用于斩刑。借指重刑。,【例句】《左传・昭公四年》王弗听，负之斧钺，以徇於诸侯。
10064,2,讣告,H,0,fù gào,通知某人死亡的报告。,
10065,2,讣文,P,0,fù wén,通知某人死亡的文章。,
10066,1,负荷,Y,0,fù hè,负担。,
10067,1,阜垤,L,0,fù dié,小土丘。,【例句】北齐・刘昼《新论・慎隟》故登峭坂而不跌坠者，慎於大也；跨阜垤而好颠蹷者，轻於小也。
10068,3,陚,L,0,wǔ,平原。,
10069,1,附廛,Y,0,fù chán,接近市区。,
10070a,3,副作用,N,0,fù zuò yòng,处理问题时附带产生的不好的后果、影响等。,
10070b,3,副作用,H,0,fù zuò yòng,处理问题时附带产生的不好的后果、影响等。,
10071a,2,腹黑,W,0,fù hēi,表面善良却心怀鬼胎的人。,
10071b,2,腹黑,N,2,fù hēi,表面和善温良，内心却黑暗邪恶的人。,
10072,1,腹笥,N,0,fù sì,腹中所记之书籍和所有的学问。,【例句】宋・杨亿《受诏修书述怀感事三十韵》讲学情田埆，谈经腹笥虚。
10073,1,赙金,N,0,fù jīn,指送钱财给丧主，资助其办理丧事。,【例句】宋・朱熹《朝奉大夫傅公行状》既而太夫人竟不起，郡县赙金千馀缗。
10074a,2,垓极,N,0,gāi jí,荒远之处。,【例句】汉・扬雄《大鸿胪箴》荡荡唐虞，经通垓极。
10074b,2,垓极,L,0,gāi jí,荒远之处。,【例句】汉・扬雄《大鸿胪箴》荡荡唐虞，经通垓极。
10075,1,戤牌,N,0,gài pái,冒牌商标。,
10076,1,甘霖,H,0,gān lín,久旱后下的雨，及时雨。,【例句】元方回《次韵金汉臣喜雨》甘霖三尺透，病体十分轻。
10077,1,甘澍,N,0,gān shù,久旱后的大雨。,【例句】清・赵翼《山行杂诗》只在百丈间，即化甘澍膏。
10078,1,泔水,P,0,gān shuǐ,淘米、洗菜、洗刷餐具、用过的水。,
10079,1,柑勒,L,0,gān lè,柑与勒皆制马之具。喻指控制、约束的手段。,
10080,1,斜阳,N,0,xié yáng,指傍晚西斜的太阳。,【例句】唐・赵嘏《东望》诗：“斜阳映阁山当寺，微绿含风月满川。”
10081,1,干戚,M,0,gān qī,借指征战。,【例句】唐・李昂《从军行》欲令塞上无干戚，会待单于系颈时。
10082,1,干渠,X,0,gàn qú,从水源引水的渠道。,
10083,1,绀碧,Y,0,gàn bì,天青色；深青透红色。,【例句】宋・张耒《绀碧》绀碧遥空秋意生，深檐当午暑风清。
10084,1,纲领,N,0,gāng lǐng,正式、严格坚持的原则和条例的条文和概要。,
10085,1,钢镚,H,0,gāng bèng,硬币。,
10086,1,膏粱,Y,0,gāo liáng,肥肉和细粮，指美食。,【例句】《红楼梦》所以这李纨虽青春丧偶，且居于膏粱锦绣之中，意如槁木死灰一般。
10087,1,膏腴,W,0,gāo yú,肥沃的土地，,
10088,1,缟纨,N,1,gǎo wán,做工精细的丝织品。,【例句】《一枝花》轻盈怜鲁缟，皎洁胜齐纨。
10089,1,缟纻,H,0,gǎo zhù,比喻深厚的友谊。,【例句】《祭郴州李使君文》授缟纻以托心，示兹诚之不谬。
10090,1,格敕,P,0,gé chì,法规敕令。,【例句】《旧唐书・权德舆传》许孟容、蒋乂等奉诏删定格敕，孟容等寻改他官，乂独成三十卷，表献之，留中不出。
10091a,2,隔阂,H,0,gé hé,彼此情意沟通的障碍；思想上的距离。,
10091b,2,隔阂,N,0,gé hé,彼此情意沟通的障碍；思想上的距离。,
10092a,1,隔膜,H,0,gé mó,情意不相通，彼此不了解。,
10092b,2,隔膜,D,0,gé mó,人与人之间心理上的隔阂或不理解。,
10093,3,葛优躺,N,0,Gě Yōu tǎng,一种瘫软在沙发或床上的姿势。,
10094,1,给廪,N,0,jǐ lǐn,官府供给粮食。,【例句】《坚瓠补集・蛙给廪》帝曰：若是官蛙，可给廪。
10095,1,跟肘,Y,0,gēn zhǒu,脚跟和手肘。为人体四肢的一部分。比喻不全的笔划。,
10096,1,绠绁,L,0,gěng xiè,绳索。,【例句】《三国志・吴志・吾粲传》值天大风，诸船绠绁断绝，漂没著岸，为魏军所获。
