id,vayu,source,answer,desc
1,【S4】,第一届随蓝知识竞赛,十月革命,"这一事件发生于1917年，它宣告了第一个无产阶级专政国家的成立。因其发生在俄历十月而得名。"
2,【D4】,第一届随蓝知识竞赛,电磁感应,"这一现象是指放在变化磁通量中的导体，会产生电动势。发现者是法拉第。"
3,【W4】,第一届随蓝知识竞赛,瓮牖绳枢,"比喻贫穷人家，最早说的是陈涉的房子的门窗构造。"
4,【L5】,第一届随蓝知识竞赛,蓝色多瑙河,"被称为“奥地利的第二国歌”，作者是小约翰斯特劳斯，是一首圆舞曲，提到了欧洲第二长河。"
5,【B7】,第一届随蓝知识竞赛,不爱红装爱武装,"这是毛主席的诗句，赞扬了女民兵不喜欢装扮喜欢军事，上句是中华儿女多奇志。"
6,【X3】,第一届随蓝知识竞赛,星期五,"1.黑色 2.金 3.鲁滨逊 4.金曜日"
7,【G2】,第一届随蓝知识竞赛,高斯,"1.德国 2.王子 3.等差数列 4.正十七边形"
8,【B2】,第一届随蓝知识竞赛,冰壶,"这是一项4对4的体育运动，是一项冬季运动，有“冰上国际象棋”的称号，也叫冰上溜石。"
9,【X7】,第一届随蓝知识竞赛,休将白发唱黄鸡,"这是一句词，表明人应该保持老当益壮的豁达，而非感慨时间流逝，是苏轼游蕲水所写。"
10,【C2】,第一届随蓝知识竞赛,萃取,"这是一种分离混合物的操作，是利用系统中组分在溶剂中有不同的溶解度来实现的，通常完成这一操作后会进行分液。"
11,【F7】,第一届随蓝知识竞赛,芳草萋萋鹦鹉洲,"这句诗写到了武汉的一个地名，作者是崔颢。该地名中有一种鸟的名字。"
12,【A5】,第一届随蓝知识竞赛,阿伏伽德罗,"这位化学家提出同温同压同体积的气体分子数相同，以他命名的常数为一摩尔物质所含的基本单元数量。"
13,【F2】,第一届随蓝知识竞赛,佛系,"这个网络流行词于2014年起源于日本，在2017年底才在国内流传开。表达的是一种有目的地放下的生活态度。首字是一个宗教名。"
14,【L11】,第一届随蓝知识竞赛,六月二十七日望湖楼醉书,"这组诗共5首，是苏轼游杭州西湖后所写。前六个字点明了时间。以写雨景的第一首最有名。"
15,【P2】,第一届随蓝知识竞赛,平明,"1.天亮 2.宫门 3.楚山 4.白羽"
16,【S4】,第一届随蓝知识竞赛,三长两短,"这个成语是指意外的灾祸，据说与棺材上的木料数有关，也特指人的死亡。"
17,【C2】,第一届随蓝知识竞赛,单于,"这是一个复姓，也是匈奴首领的称号。"
18,【T7】,第一届随蓝知识竞赛,天若有情天亦老,"这句诗最早为李贺所写，后被毛主席所引用。它假设了上天也会因感慨而衰老。"
